"","Single-ended 1 Last (mbar)"
"547","14.728"
"548","14.729"
"549","14.726"
"550","14.728"
"551","14.728"
"552","14.728"
"553","14.725"
"554","14.726"
"555","14.727"
"556","14.727"
"557","14.727"
"558","14.726"
"559","14.726"
"560","14.723"
"561","14.726"
"562","14.727"
"563","14.723"
"564","14.721"
"565","14.723"
"566","14.721"
"567","14.720"
"568","14.721"
"569","14.718"
"570","14.720"
"571","14.719"
"572","14.720"
"573","14.718"
"574","14.718"
"575","14.718"
"576","14.715"
"577","14.715"
"578","14.717"
"579","14.715"
"580","14.715"
"581","14.716"
"582","14.716"
"583","14.715"
"584","14.715"
"585","14.715"
"586","14.715"
"587","14.713"
"588","14.712"
"589","14.711"
"590","14.708"
"591","14.706"
"592","14.708"
"593","14.706"
"594","14.706"
"595","14.705"
"596","14.706"
"597","14.705"
"598","14.705"
"599","14.705"
"600","14.704"
"601","14.704"
"602","14.704"
"603","14.704"
"604","14.703"
"605","14.701"
"606","14.702"
"607","14.701"
"608","14.701"
"609","14.701"
"610","14.701"
"611","14.700"
"612","14.699"
"613","14.701"
"614","14.701"
"615","14.698"
"616","14.698"
"617","14.700"
"618","14.700"
"619","14.698"
"620","14.695"
"621","14.697"
"622","14.697"
"623","14.697"
"624","14.694"
"625","14.695"
"626","14.694"
"627","14.695"
"628","14.694"
"629","14.691"
"630","14.694"
"631","14.694"
"632","14.692"
"633","14.691"
"634","14.690"
"635","14.691"
"636","14.694"
"637","14.691"
"638","14.688"
"639","14.690"
"640","14.688"
"641","14.687"
"642","14.687"
"643","14.690"
"644","14.691"
"645","14.690"
"646","14.689"
"647","14.689"
"648","14.690"
"649","14.688"
"650","14.688"
"651","14.689"
"652","14.687"
"653","14.687"
"654","14.685"
"655","14.686"
"656","14.687"
"657","14.685"
"658","14.684"
"659","14.684"
"660","14.683"
"661","14.682"
"662","14.682"
"663","14.681"
"664","14.678"
"665","14.675"
"666","14.676"
"667","14.677"
"668","14.676"
"669","14.678"
"670","14.674"
"671","14.675"
"672","14.676"
"673","14.673"
"674","14.674"
"675","14.673"
"676","14.673"
"677","14.675"
"678","14.672"
"679","14.669"
"680","14.669"
"681","14.669"
"682","14.669"
"683","14.668"
"684","14.664"
"685","14.665"
"686","14.667"
"687","14.669"
"688","14.667"
"689","14.667"
"690","14.665"
"691","14.666"
"692","14.666"
"693","14.667"
"694","14.665"
"695","14.666"
"696","14.664"
"697","14.665"
"698","14.663"
"699","14.663"
"700","14.661"
"701","14.660"
"702","14.660"
"703","14.660"
"704","14.660"
"705","14.659"
"706","14.659"
"707","14.662"
"708","14.661"
"709","14.660"
"710","14.662"
"711","14.658"
"712","14.657"
"713","14.658"
"714","14.657"
"715","14.657"
"716","14.657"
"717","14.656"
"718","14.655"
"719","14.657"
"720","14.655"
"721","14.654"
"722","14.655"
"723","14.654"
"724","14.654"
"725","14.653"
"726","14.650"
"727","14.652"
"728","14.650"
"729","14.650"
"730","14.650"
"731","14.649"
"732","14.649"
"733","14.648"
"734","14.649"
"735","14.647"
"736","14.645"
"737","14.647"
"738","14.644"
"739","14.644"
"740","14.641"
"741","14.642"
"742","14.642"
"743","14.642"
"744","14.640"
"745","14.639"
"746","14.640"
"747","14.639"
"748","14.639"
"749","14.637"
"750","14.638"
"751","14.640"
"752","14.636"
"753","14.635"
"754","14.634"
"755","14.635"
"756","14.635"
"757","14.635"
"758","14.634"
"759","14.633"
"760","14.634"
"761","14.632"
"762","14.633"
"763","14.633"
"764","14.631"
"765","14.632"
"766","14.631"
"767","14.632"
"768","14.630"
"769","14.630"
"770","14.631"
"771","14.629"
"772","14.630"
"773","14.632"
"774","14.630"
"775","14.630"
"776","14.630"
"777","14.629"
"778","14.631"
"779","14.629"
"780","14.631"
"781","14.628"
"782","14.627"
"783","14.628"
"784","14.627"
"785","14.628"
"786","14.627"
"787","14.625"
"788","14.628"
"789","14.627"
"790","14.626"
"791","14.625"
"792","14.625"
"793","14.624"
"794","14.623"
"795","14.623"
"796","14.623"
"797","14.624"
"798","14.623"
"799","14.621"
"800","14.619"
"801","14.619"
"802","14.617"
"803","14.620"
"804","14.617"
"805","14.617"
"806","14.615"
"807","14.616"
"808","14.615"
"809","14.613"
"810","14.613"
"811","14.614"
"812","14.615"
"813","14.613"
"814","14.614"
"815","14.613"
"816","14.613"
"817","14.611"
"818","14.610"
"819","14.608"
"820","14.609"
"821","14.609"
"822","14.609"
"823","14.608"
"824","14.607"
"825","14.608"
"826","14.607"
"827","14.607"
"828","14.606"
"829","14.607"
"830","14.606"
"831","14.605"
"832","14.604"
"833","14.602"
"834","14.601"
"835","14.602"
"836","14.602"
"837","14.600"
"838","14.602"
"839","14.601"
"840","14.603"
"841","14.604"
"842","14.601"
"843","14.601"
"844","14.601"
"845","14.602"
"846","14.600"
"847","14.599"
"848","14.599"
"849","14.600"
"850","14.600"
"851","14.600"
"852","14.599"
"853","14.599"
"854","14.598"
"855","14.599"
"856","14.600"
"857","14.599"
"858","14.597"
"859","14.594"
"860","14.594"
"861","14.596"
"862","14.596"
"863","14.595"
"864","14.592"
"865","14.595"
"866","14.594"
"867","14.594"
"868","14.592"
"869","14.591"
"870","14.591"
"871","14.590"
"872","14.591"
"873","14.591"
"874","14.590"
"875","14.587"
"876","14.590"
"877","14.591"
"878","14.591"
"879","14.589"
"880","14.589"
"881","14.590"
"882","14.588"
"883","14.589"
"884","14.587"
"885","14.586"
"886","14.586"
"887","14.585"
"888","14.585"
"889","14.584"
"890","14.585"
